total_rooms,total_bedrooms,population,households
5963,1344,4367,1231
1783,395,1659,412
999,264,1011,263
1469,431,1464,389
1372,395,1237,303
674,180,647,168
1626,376,1284,357
175,43,228,55
461,129,381,123
902,237,846,227
2373,779,1659,676
391,128,520,138
1137,301,866,259
769,206,612,183
472,146,415,126
862,215,994,213
1920,530,1525,477
1420,472,1506,438
986,258,1008,255
2340,825,2813,751
1696,396,1481,343
1175,217,859,219
2343,574,1608,523
610,145,425,140
930,199,564,184
1487,314,961,272
3424,690,2273,685
762,190,600,195
2366,575,1647,527
1826,450,1201,424
3049,711,2167,659
1640,376,939,340
1543,307,859,292
2364,557,1517,516
1745,409,1143,386
2003,500,1109,464
2018,447,1221,446
3045,499,1115,455
1547,293,706,268
3519,711,1883,706
2070,354,804,340
1321,263,506,252
1694,259,610,238
1938,341,768,332
968,195,462,184
1060,256,667,235
2041,405,1059,399
1813,271,637,277
2718,451,1106,454
3144,761,1737,669
1802,459,1009,390
882,195,737,210
1621,452,1354,491
2115,533,1530,474
2021,528,1410,480
2239,508,1390,569
1477,300,1065,269
1056,224,792,245
898,244,779,245
2968,710,2269,610
1702,460,1227,407
881,248,753,241
494,114,547,135
1776,473,1807,440
1678,514,1700,495
1637,463,1543,393
1420,314,1085,300
591,173,353,137
745,153,473,149
2272,498,1621,483
1234,375,1183,354
1017,328,836,277
932,254,900,263
2689,597,1888,537
1547,415,1024,341
2300,443,1225,423
1752,399,1071,376
1867,403,1128,378
2430,502,1537,484
1729,414,1240,393
1026,180,469,168
2170,428,1086,425
2329,445,1144,417
2492,415,1109,375
2198,397,984,369
142,31,575,47
1183,205,496,209
1070,193,555,190
1766,332,869,327
617,95,236,106
1411,233,626,214
2109,387,922,329
1229,243,582,256
954,217,546,201
1643,262,620,266
1355,195,442,195
2317,336,955,328
2459,317,916,324
12842,2048,4985,1967
1524,260,651,267
3326,746,1704,703
1985,440,1085,407
1642,322,713,284
893,177,468,181
653,128,296,121
1256,,570,218
977,194,446,180
2324,397,968,384
1583,349,857,316
1612,342,912,322
2424,533,1360,452
1594,367,1074,355
2118,413,965,382
1575,358,933,320
1764,397,987,354
1187,261,907,246
754,175,447,165
2308,452,1299,451
909,236,396,157
1180,257,877,268
2018,408,1111,367
1368,282,790,269
2744,547,1479,554
2107,471,1173,438
1748,362,1029,366
2024,391,1030,350
1116,259,826,279
2036,510,1412,454
1852,393,1132,349
921,207,522,159
995,238,630,237
606,132,531,133
2680,736,1925,667
1493,370,1144,351
2207,565,1481,520
856,189,435,162
1293,297,984,303
847,212,567,159
541,154,380,123
1066,253,825,244
707,147,417,155
1528,291,801,287
909,215,646,198
1391,293,855,285
548,119,435,136
4074,874,2736,780
1613,445,1481,414
463,134,327,137
818,193,494,179
1473,371,1231,341
504,126,323,109
1026,226,749,225
769,183,693,178
2103,391,1339,354
330,76,282,80
941,218,621,195
992,,732,259
990,261,901,260
1126,263,482,150
1036,233,652,213
1047,214,651,166
1280,307,999,286
1587,320,907,306
1257,271,828,230
1218,248,763,254
1751,390,935,349
2299,514,1437,484
2457,624,1516,482
998,211,597,185
1685,343,949,342
1827,307,881,302
2781,574,1438,519
1823,286,763,270
2229,365,1297,355
1513,231,545,211
3266,491,1222,533
1809,261,808,219
794,111,329,109
690,105,299,109
1334,200,579,202
414,54,137,50
768,93,229,93
4400,666,1476,648
954,161,429,154
1445,256,849,255
1938,399,946,331
856,178,571,191
1790,454,1137,386
617,131,378,135
1383,275,853,272
1325,277,764,282
1227,294,928,261
667,140,406,133
1223,281,824,280
1379,287,835,259
1534,300,826,295
1029,181,567,211
771,147,355,144
824,223,533,166
1097,239,609,215
1283,238,576,236
1604,263,594,286
2248,422,870,377
2263,522,1027,509
1571,349,693,326
1520,402,815,375
5083,1212,2420,1146
1077,293,518,276
1248,283,620,275
1342,291,551,266
3061,930,2556,924
3171,698,1498,696
1211,261,523,227
979,175,374,153
2269,380,1004,371
1844,332,769,334
2178,421,940,423
1650,274,645,256
1927,279,705,288
2079,273,684,275
1803,240,572,236
2041,270,671,253
3046,373,975,365
2318,328,779,312
2003,250,658,244
2261,328,819,335
1225,169,412,168
2315,408,835,369
2070,329,722,306
2616,473,1085,487
2640,366,973,355
1978,293,723,272
2220,335,903,362
1125,195,356,181
3078,494,1005,462
3706,531,1205,504
3000,457,987,450
2863,460,1031,448
2551,417,894,404
2255,410,823,377
3360,648,1232,621
1693,391,669,367
2252,592,989,550
2495,491,1058,464
1193,200,506,207
1172,215,489,218
2159,424,824,388
2365,490,1034,475
1895,442,920,425
1650,395,841,380
453,146,749,137
409,97,208,98
503,118,228,100
499,127,287,128
477,119,218,106
1647,376,854,355
3123,749,1695,684
957,188,403,172
589,132,288,131
2026,548,963,521
1829,536,1129,516
895,198,386,204
1909,416,811,406
3022,696,1293,675
1777,446,805,431
2803,930,1372,876
1465,439,862,425
2619,682,1152,616
1149,255,483,249
2363,604,1558,573
2604,837,1798,769
685,141,266,123
1756,465,2184,422
1204,460,2016,477
609,236,1349,250
1087,371,3337,350
2773,998,1721,949
3218,1108,1675,1000
1350,368,707,350
3084,698,1424,694
938,195,393,189
1813,353,828,339
1233,300,571,292
2539,755,1382,713
1267,324,792,321
1665,404,815,372
1659,367,788,346
2225,460,1145,430
2485,607,1354,563
2031,450,958,445
2932,668,1361,608
2246,472,1005,449
2052,435,924,414
1999,417,780,358
3007,691,1582,636
2214,550,1213,568
1088,305,486,267
834,186,494,175
1769,372,849,365
2307,583,1127,548
5161,1744,3276,1742
3497,832,1493,794
3774,744,1461,679
2888,604,1253,538
2153,517,1656,459
1389,191,514,202
1709,318,719,295
1587,444,878,449
1668,225,517,214
3726,474,1366,496
4048,663,1316,590
3618,768,1508,755
4076,920,1800,815
2077,400,719,326
1279,300,675,255
1974,426,875,363
335,83,152,77
1375,307,843,319
610,145,281,132
1025,198,506,204
2063,484,1054,466
1872,419,1017,414
3108,813,1623,765
7355,2408,3100,2051
2990,379,947,361
2492,310,808,315
2991,335,1018,335
3242,366,1001,352
3051,381,1005,369
3494,396,1192,383
1757,246,585,227
2449,312,916,316
1611,203,556,179
3665,517,1470,520
2474,403,1104,398
3037,516,1242,518
2269,323,805,321
1316,177,378,162
1153,235,481,223
772,179,409,160
1711,386,885,373
2650,566,1468,567
1038,220,482,215
1527,320,825,264
859,157,429,158
970,217,528,208
1045,239,496,216
1408,280,718,265
1222,264,630,265
1169,263,723,286
2020,535,959,486
4145,869,3668,855
2038,368,2037,355
5154,,3741,1273
1241,309,821,300
1468,363,870,347
3997,1073,1901,966
2873,763,1243,663
1487,306,730,327
1670,350,793,299
2252,388,1033,434
1731,377,872,363
1710,481,849,457
2388,559,1121,518
2156,458,872,445
1565,315,637,297
1704,371,663,340
1210,168,411,172
2097,444,915,413
1848,479,921,477
955,284,585,266
4329,1110,2086,1053
3011,542,1303,535
1049,185,374,176
2504,516,979,472
1846,471,827,446
1705,246,658,253
1542,289,654,268
891,,384,146
4051,753,1499,797
2646,581,1128,522
2428,525,1110,492
2567,436,1119,415
7031,1249,2930,1235
1914,365,897,390
18634,2885,7427,2718
5785,1379,2973,1312
2876,648,1340,632
6909,1554,2974,1484
5679,1270,2690,1151
1156,365,583,326
14316,2045,5781,2007
3596,467,1738,512
3541,570,1478,529
1808,302,746,270
2879,480,1235,455
3204,477,1411,484
3866,531,1368,521
2476,368,1048,367
2211,350,1004,365
2663,387,1086,367
2599,366,922,350
4569,824,1950,819
2973,622,1413,595
3115,625,1444,568
1843,282,749,269
2053,336,867,329
6740,1073,2723,1035
1751,269,731,263
1663,295,781,301
3716,657,1784,652
2718,447,1156,410
1420,272,645,277
1893,310,821,315
3906,790,1912,770
3400,736,1487,694
3402,758,1645,710
4413,1107,2239,1051
2304,618,1021,552
2350,499,1105,467
5914,1309,2999,1295
1575,324,740,284
1414,274,629,244
848,202,314,205
3051,685,1479,668
4296,817,1732,800
2898,557,1338,550
1071,201,440,192
2619,403,922,393
1494,316,611,288
2260,416,994,412
1394,223,545,230
1028,129,317,143
3758,819,1573,736
2163,470,925,435
1699,408,768,385
1555,289,620,292
1114,206,425,207
1498,313,1003,305
726,147,519,135
890,200,481,198
2639,533,1209,519
2562,554,1398,525
361,69,158,58
3008,659,1817,664
1369,284,766,289
1692,398,814,328
1007,245,618,239
3783,814,2139,789
1507,242,632,253
666,132,366,134
2229,601,877,485
2215,587,830,573
1616,372,739,379
1190,251,540,266
4169,1047,2024,962
2024,320,823,334
1723,394,711,353
2264,390,931,368
1996,268,686,270
2862,394,1030,397
2183,383,976,392
1037,207,552,210
1134,153,340,171
786,132,288,132
1397,253,555,248
2315,451,1006,444
1613,339,776,346
1421,298,609,270
5778,1526,2441,1352
3094,866,1364,789
3905,1007,2197,1044
3046,557,1333,544
3516,710,1810,703
998,178,531,183
1464,244,672,261
1463,292,695,330
4124,1054,2162,998
2380,769,1216,643
1266,228,606,239
2239,391,1203,379
1571,317,874,301
1246,221,637,222
1501,287,703,276
1468,252,733,229
1118,219,625,228
1097,208,568,225
1719,303,836,311
1755,365,952,362
1687,348,568,352
2262,391,1125,366
2087,407,840,401
1480,278,796,283
1545,273,863,267
2632,447,1349,486
2261,443,929,383
1670,308,957,335
2141,535,1093,555
3337,613,1489,607
3184,716,1561,628
2341,500,1256,485
1197,269,695,279
1131,278,560,237
1164,284,632,289
3495,787,1849,750
2488,617,1287,538
2681,508,1580,536
2495,635,1571,579
1689,461,828,443
1298,306,835,338
2693,789,1765,724
746,,387,161
2444,651,1562,618
1472,310,768,309
2227,560,1140,472
200,25,83,31
1283,194,485,171
2445,590,1189,573
1307,236,586,249
3785,936,2240,792
2031,357,867,352
8299,1326,3827,1288
7518,1279,3827,1294
1815,426,1280,431
5367,1207,2667,1047
1167,370,253,137
2607,682,1401,607
493,168,233,152
1252,305,673,308
1382,353,704,314
500,110,273,120
2333,538,1120,540
1834,463,1105,467
1415,348,569,293
1352,342,691,324
2116,503,1109,448
1976,481,1197,465
1779,413,1061,400
3659,897,2479,903
1892,428,1162,389
1958,484,1146,448
1553,253,724,267
2412,394,975,375
2110,389,952,370
2179,401,1159,399
2457,445,1129,422
2147,399,1175,401
1676,340,924,328
2976,518,1424,538
3036,533,1366,500
2472,398,1171,390
1487,249,641,243
2012,347,880,332
3342,,1635,557
3156,534,1495,543
1748,318,914,317
3429,681,1798,694
3592,703,1625,665
1035,247,599,224
3028,811,2037,703
2431,655,1854,603
2069,500,1408,478
1340,313,766,271
1160,259,725,274
2015,318,1019,340
3882,816,1830,743
3239,671,1469,616
2932,739,1198,624
2104,409,1039,394
1694,251,690,242
3000,419,1155,415
2419,348,1066,384
2280,610,1255,587
5031,1168,2461,1042
1547,372,1063,356
3300,790,2181,740
5018,1439,3069,1299
1813,393,1093,374
1997,436,1349,437
901,191,599,206
686,142,480,149
1954,464,1293,448
2630,722,1414,634
1130,192,543,184
1184,200,572,194
656,115,342,112
2544,643,2332,603
1305,225,768,234
1755,316,913,299
2843,652,1726,643
2538,494,1185,501
1784,311,735,278
1797,327,796,319
410,76,252,82
162,27,86,25
9963,2031,5613,1946
2361,458,1727,467
862,167,407,183
4335,808,2041,734
1487,280,854,301
3592,849,1907,746
432,102,264,77
1457,242,735,249
1578,284,836,292
2172,435,1377,408
1340,245,789,248
1116,199,662,226
1885,307,853,271
1180,212,664,200
5267,1253,4065,1113
1897,440,1109,418
767,171,548,185
691,127,431,149
786,133,463,160
5861,1516,5436,1463
2784,723,2028,693
4524,860,2426,862
1468,304,1038,282
1655,450,857,430
1227,286,848,291
1160,252,729,220
952,172,369,159
2072,352,1001,350
2964,547,1472,527
1032,173,453,176
657,118,328,134
1540,324,793,302
1298,236,632,204
1409,271,1002,281
1383,259,808,241
1151,216,727,215
899,179,455,185
1793,364,1534,346
2485,518,1139,550
1931,376,1175,337
2329,465,1401,453
6711,1374,3388,1289
1939,356,841,364
1642,346,705,351
1619,293,1148,310
517,108,391,107
1570,274,992,249
1213,221,790,243
1826,309,1016,313
2261,443,1039,395
3666,711,2341,703
1633,345,1382,338
2155,522,1858,437
1295,280,1156,300
1295,295,1097,328
1518,302,831,268
3314,638,1873,602
3009,497,1640,514
2605,474,1568,433
5159,832,3174,817
1726,276,1186,310
1816,365,1367,355
2578,551,1680,528
2576,418,1657,410
1644,251,1033,267
1606,240,1117,268
3349,544,2003,488
3475,686,2568,653
1893,338,1461,344
1727,302,1116,273
6243,1273,3163,1274
2077,383,1488,389
1165,333,855,319
4371,889,2530,817
838,295,240,149
3052,760,2097,728
4313,717,2629,721
385,94,295,92
3046,678,2056,628
4342,783,2172,789
3575,597,1777,559
4126,1031,2079,975
2878,478,1276,485
4405,717,2071,688
16199,2993,8117,2847
14917,2708,8012,2606
5719,1064,3436,1057
8647,1407,5019,1379
8112,1376,4576,1348
10648,1818,6075,1797
1150,311,648,245
14014,2861,7205,2753
4332,857,2461,829
1716,312,914,316
4981,964,2841,924
8444,1492,4446,1491
3028,778,1531,736
2068,532,1434,495
1325,274,909,267
2563,485,1174,501
5505,1005,2641,971
6462,1294,3288,1235
3746,993,1606,838
8918,1823,4518,1772
1949,344,986,322
4924,1247,3080,1182
5133,1375,3386,1339
6647,2098,4649,1903
5674,748,2412,714
10687,1540,4552,1520
1354,192,596,220
3715,526,1631,538
2095,342,941,304
3517,645,1724,585
2537,382,1067,410
5106,1207,2738,1108
2215,475,1278,492
2949,529,1538,545
2375,652,1252,586
2312,496,1344,467
2277,420,1353,413
2506,387,1273,406
2829,566,1610,540
3179,703,2142,639
2332,371,1285,404
3584,715,1673,661
3046,507,1772,516
2414,415,1106,453
4133,744,2023,749
2791,495,1276,468
6103,1249,3026,1134
2572,406,1128,395
1910,371,852,357
1890,303,889,314
5405,939,2831,923
3761,623,1776,613
3333,511,1671,504
4925,948,2530,894
3994,764,2721,763
5811,1125,3215,1086
4211,741,2352,734
5532,973,2855,960
28258,3864,12203,3701
4909,577,1981,591
7441,1588,3571,1466
4314,676,1972,623
2016,322,1105,357
5377,744,2759,760
9167,1373,4319,1404
3087,532,1597,483
3170,532,1446,515
2145,369,1285,377
4209,731,2568,703
4247,835,2357,823
4458,922,2998,890
407,97,307,100
6483,1068,3526,1060
1867,343,1213,338
2918,672,1911,639
2316,478,1524,467
1240,264,719,236
4458,856,3038,870
1746,437,1268,404
4572,712,2346,709
4280,673,2216,681
6352,1390,3223,1316
7477,1576,2937,1506
4638,716,2302,687
4377,668,2038,671
3816,637,1935,642
2806,459,1453,444
4822,845,2288,805
6473,1027,2484,970
8072,1050,3386,1062
1280,209,512,208
3166,424,1081,400
3742,555,1590,559
7397,1137,3126,1115
1655,223,706,219
2456,582,793,456
2179,308,926,299
1804,254,831,260
3631,547,1700,520
2876,423,1395,427
7490,1207,3329,1136
2234,270,854,286
1898,239,734,245
4070,624,1543,577
2244,301,937,324
2948,471,1181,474
2034,288,852,295
2130,273,876,285
9540,1294,3926,1229
2702,680,1360,642
522,116,161,102
775,134,315,123
1565,464,769,461
1309,184,514,172
5519,833,2444,825
4337,800,1813,743
1812,294,853,278
4719,741,1895,742
4236,701,1833,663
3634,664,1699,640
1569,242,583,214
13182,2074,4847,1950
228,40,83,42
127,23,51,21
9621,1344,4389,1391
6159,1510,2649,1241
4290,554,1952,576
1786,306,771,279
404,74,144,58
1671,352,729,252
5608,1049,2595,1067
12070,2220,5826,2125
494,81,254,85
5533,943,2474,910
3956,639,2222,662
1906,351,802,319
3433,711,1919,709
1687,372,950,372
2358,498,1157,461
2853,588,1761,572
6296,1082,3200,1047
3980,736,1705,679
2647,536,1422,522
1755,299,702,263
1864,357,1189,349
1078,207,555,197
20354,3493,8768,3293
3112,872,1392,680
495,112,277,109
2157,418,929,419
1501,299,629,288
8068,1217,3489,1259
3023,518,1225,468
2211,344,1024,321
2163,339,947,346
1773,278,804,269
1947,418,900,354
14701,2210,6693,2232
1364,282,338,152
2061,465,573,196
3045,543,202,102
3545,702,946,411
2944,558,1091,466
1443,249,435,181
2277,474,767,356
1564,357,618,277
4403,891,1103,433
1133,254,495,187
1001,195,369,157
1783,337,638,262
1521,309,607,240
1374,297,657,288
1391,246,546,214
1473,265,597,228
1248,234,529,216
1748,322,4930,287
3998,765,1614,698
3471,653,1793,600
2791,492,1187,438
2084,449,834,305
5654,1085,2237,953
4221,816,1737,743
1787,347,806,306
2144,420,985,381
1538,305,730,267
3750,691,1444,603
3267,614,1252,566
1257,231,559,213
1341,256,533,242
9831,1921,4644,1775
6010,1116,2710,1149
7653,1578,3628,1494
5273,1177,2446,1199
2351,620,1215,548
7254,1785,4030,1667
10265,1860,4591,1906
14631,3298,7517,3262
1707,296,822,297
1651,309,856,293
1737,290,747,265
568,127,267,129
1139,265,623,264
2901,689,1426,632
444,80,1107,98
3425,827,2469,758
3494,843,1571,784
4362,1053,2053,1000
2976,599,1181,560
3263,604,1290,594
2551,378,1011,374
7744,1375,3316,1365
2236,372,974,379
7212,1355,3264,1264
5690,1189,2887,1077
140,28,84,29
2923,659,1371,626
677,152,379,154
502,100,311,100
857,232,520,198
1457,389,802,342
957,263,513,223
1741,401,753,377
7272,1559,5022,1524
1890,420,974,383
5051,1054,2948,980
2242,517,1160,449
2978,694,1879,679
1222,250,708,281
5103,825,2456,810
2741,451,1217,437
1453,299,904,286
549,105,275,94
2202,422,1109,403
3759,,1705,600
1535,279,726,272
1465,278,745,250
2867,559,1203,449
3996,748,1786,728
858,262,47,27
1468,285,611,235
1527,269,665,261
4591,904,1904,812
1742,307,721,312
3835,727,1456,658
1958,369,875,354
3744,699,1532,660
3974,727,1610,634
2672,533,1151,532
743,171,395,168
2754,570,1063,543
945,205,385,207
1503,343,699,296
1612,313,837,303
1677,327,770,309
790,137,365,152
2221,459,952,440
1535,276,664,273
2636,523,1184,465
1384,257,557,232
2487,485,1110,453
1676,332,733,318
908,206,481,211
2263,497,1138,455
2447,556,1157,556
2431,512,1026,427
1759,366,788,359
1599,318,794,303
2598,482,1151,490
2063,559,934,529
1173,261,523,258
1296,296,569,257
1808,334,763,335
2748,556,1174,514
3502,655,1763,613
2836,522,1163,512
1619,292,705,285
1646,330,750,344
2888,591,984,499
1677,345,844,330
1896,408,893,334
1583,331,730,306
2828,610,986,391
632,148,221,102
1483,284,481,211
2490,527,1229,497
818,197,358,197
1957,429,945,397
1733,421,1861,415
886,204,576,205
5549,1000,1822,919
848,153,436,155
1652,325,790,292
1554,242,553,230
3720,636,1304,607
1806,293,683,295
1030,161,448,159
1028,185,471,186
3585,757,1887,765
3085,610,1688,575
1551,353,684,310
827,198,396,161
1050,288,485,260
1064,245,603,190
1885,385,871,347
2023,469,1073,436
2409,490,1384,479
1865,372,1087,385
1947,383,925,337
2105,416,974,385
1610,324,909,323
1387,325,640,289
202,54,145,40
3215,827,2041,737
1438,310,779,275
1537,329,617,274
2896,596,1809,617
1724,315,939,302
461,107,284,90
2505,468,1174,429
1462,241,569,231
1217,238,677,233
2628,494,1364,468
2278,523,1185,475
1340,255,662,239
1434,283,811,289
2119,389,1079,374
3659,735,1970,667
189,34,121,37
720,150,359,138
2515,482,1284,462
2599,502,1241,502
1003,251,1098,227
1217,224,537,187
812,154,374,142
2220,471,1170,428
1852,373,911,365
1210,243,523,242
2330,495,1505,470
842,186,635,165
2596,435,1100,409
1019,192,501,185
1432,284,862,275
1814,342,941,323
1687,327,864,334
1105,180,408,166
4221,781,1516,697
1566,325,785,291
2745,559,1150,491
1199,224,463,199
736,148,339,140
7450,1475,2233,930
3758,715,1777,615
1003,235,538,190
3120,641,1319,526
2029,387,1000,364
3585,680,1800,598
7188,1288,3175,1115
3095,681,1341,546
2685,543,1061,492
2967,611,1387,564
4110,847,1796,706
763,161,311,125
1326,307,563,237
1435,294,668,267
2912,663,999,411
1463,338,529,226
1411,312,592,230
1504,358,661,250
4300,845,1480,609
3757,722,546,223
2962,546,252,103
5497,1056,997,408
4401,829,924,383
4495,856,1149,459
3486,695,298,124
3297,662,267,97
1568,369,82,33
1096,218,657,199
1548,323,815,286
3832,774,2435,747
6440,1204,3266,1142
1446,295,670,281
224,38,120,45
266,62,154,49
1064,174,434,147
4169,895,2587,810
1064,230,494,175
2791,552,1395,476
1629,386,551,214
1592,372,781,307
1989,392,985,396
1214,250,660,249
701,130,271,89
3144,694,1095,482
2549,596,1169,500
2019,411,888,326
9217,1522,3578,1272
7957,1314,4460,1293
7105,1143,3523,1088
3388,599,1707,575
3079,519,1562,512
3861,718,2085,707
1046,195,527,164
1014,225,704,238
1710,320,861,300
1850,441,1348,403
2396,452,1391,465
2055,358,1064,350
1962,291,825,267
2005,405,972,403
4980,774,2399,763
3258,612,1779,558
2479,394,1075,350
14684,2252,4276,1722
1428,287,989,287
1999,415,967,320
2273,495,1088,447
1942,430,1074,393
1124,245,528,226
176,43,101,40
1017,253,798,266
1120,281,625,239
3018,606,1614,568
66,22,37,21
2688,469,1216,422
4032,814,1749,618
3090,593,1588,566
3184,581,1399,548
3058,567,1351,523
2371,375,1094,396
2983,534,1417,510
2807,445,1315,437
2331,359,1086,340
3995,605,1969,607
1265,254,587,247
2070,452,985,420
2724,579,1400,540
3268,567,1714,565
3364,570,1806,566
2269,584,1239,542
6365,1646,3838,1458
1710,288,799,259
1150,174,572,174
1970,296,935,279
2741,449,1507,460
2572,738,1384,684
4545,952,2188,901
2380,385,1292,388
2919,462,1456,453
1141,234,562,213
4156,609,1878,586
3646,534,1651,535
2738,475,1316,459
3077,465,1575,446
5623,780,2429,716
2769,619,1045,469
1489,331,838,259
242,59,188,54
2264,439,1403,476
1225,250,725,231
2982,689,1831,608
2112,466,1249,382
2707,550,1827,545
1560,369,1037,372
3644,746,2229,678
2605,440,1352,408
5329,1284,2827,1202
4114,743,1994,722
721,117,367,129
4075,927,2239,849
3216,464,1504,453
2171,597,928,461
3787,515,1606,507
2713,442,1475,415
2203,312,1051,311
3639,751,2362,641
1497,360,943,341
2604,454,1696,481
2750,479,1526,484
1000,188,663,212
3779,766,2356,722
1930,363,990,322
2677,368,1288,375
1632,248,879,262
2294,389,1142,365
1524,286,940,308
5526,,3207,1012
1654,478,1141,420
2691,542,1409,505
3360,833,2041,810
5765,1170,3266,1131
2176,464,1410,434
1840,355,1288,338
2966,558,1687,527
2505,554,1595,498
3685,685,1939,649
2810,518,1640,503
1465,247,817,237
2341,408,1235,431
1625,432,825,385
118,34,54,30
2378,508,940,451
2123,494,859,474
1760,341,741,316
1262,309,608,298
2821,652,1206,640
1800,290,761,277
1313,306,575,231
1345,272,718,283
6992,1404,3221,1334
1300,263,691,239
1738,355,837,363
2225,367,864,381
1742,339,1128,345
4308,824,2086,776
978,202,462,184
10191,1882,4377,1789
3424,583,1460,543
4657,739,1914,732
3073,506,1773,493
3913,710,1782,676
2864,514,1300,507
2643,439,1105,467
5303,779,2017,727
4371,679,1790,660
5381,871,2296,872
1660,277,741,261
4326,655,1753,646
3796,650,1679,611
1374,206,569,235
3310,574,1811,597
6915,1639,2940,1468
1705,353,856,341
1692,290,836,289
1784,313,788,304
9135,1534,3748,1502
2213,386,950,370
2199,388,1025,385
3173,548,1351,536
1043,157,425,148
1217,199,552,194
7136,1691,2959,1507
1408,277,738,269
4162,1194,1804,1185
4005,972,1896,893
2639,488,1111,476
1260,276,707,221
4043,689,1832,662
2185,357,943,366
1454,234,683,258
1339,209,601,209
6895,1022,2634,1022
3077,733,1447,709
1504,279,749,267
2765,495,1478,441
60,10,65,19
2445,469,721,474
1319,316,384,269
2476,472,1213,393
1085,217,356,232
1209,477,627,482
974,316,631,286
3577,581,1753,593
3228,562,1666,588
2675,541,1378,480
2842,567,1261,535
2965,533,1591,472
3103,537,1614,566
2247,416,1237,397
1755,327,882,350
1254,252,498,217
1476,336,777,297
2001,373,956,370
1013,169,436,173
2491,428,1171,431
3012,527,1288,512
1797,401,756,369
1474,343,782,331
4035,641,1881,659
2030,337,867,341
2293,411,969,399
2839,428,1372,443
1192,201,535,172
404,77,237,88
1256,267,638,252
1900,401,918,351
2739,393,1072,374
1691,289,807,296
1330,183,656,205
1433,290,877,313
1838,273,899,270
3418,740,1583,676
2987,,1420,540
1977,264,817,273
2714,390,1232,409
2738,428,1316,430
2823,509,1271,474
3320,589,1470,543
3364,666,1980,678
4071,713,2033,647
3216,765,1627,715
4253,709,1883,662
5048,1122,2209,1014
3324,479,1470,461
2756,423,1228,426
